dataset,algo,total_in_bytes,total_out_bytes,ratio,encode_ms,decode_ms,struct_entries_avg,struct_entries_peak,struct_bytes_avg,struct_bytes_peak
illustration-images,Huffman,482172447,288846375,0.599,7711.9,6521.2,222,256,1024,1024
illustration-images,LZW,482172447,379205374,0.786,135693.1,5282.4,65397,65536,0,0
random,Huffman,9600649,9621157,1.002,218.9,200.0,246,256,1024,1024
random,LZW,9600649,11910190,1.241,1920.2,341.8,32890,65536,0,0
real-images,Huffman,412072131,381529778,0.926,10830.3,8750.6,255,256,1024,1024
real-images,LZW,412072131,508636024,1.234,41456.0,6921.6,65536,65536,0,0
real-text,Huffman,6550590,3671989,0.561,177.3,142.5,75,108,1024,1024
real-text,LZW,6550590,2202244,0.336,1173.9,237.5,33776,65536,0,0
uniform,Huffman,7839015,5837706,0.745,209.5,131.7,30,256,1024,1024
uniform,LZW,7839015,360668,0.046,1129.0,180.2,12793,65536,0,0
